Machine Log Name                                 | User-Friendly Name                 | Unit
-----------------------------------------------------------------------------------------------
magnetronFlow                                    | Magnetron Flow                     | L/min
targetAndCirculatorFlow                          | Target & Circulator Flow           | L/min
magnetronTemp                                    | Magnetron Temperature              | °C
targetAndCirculatorTemp                          | Target & Circulator Temperature    | °C

sf6GasPressure                                   | SF6 Gas Pressure                   | PSI
CoolingpumpHighStatistics                        | Water Pump Pressure                | PSI
CoolingcityWaterTempStatistics                   | City water flow		      |l/m
CoolingtargetFlowLowStatistics			 | Target & Circulator Flow	      |l/m
CoolingmagnetronFlowLowStatistics                | Magnetron Flow                     | L/min
MLC_ADC_CHAN_TEMP_BANKA_STAT                     | MLC Temperature Bank A             | °C
MLC_ADC_CHAN_TEMP_BANKB_STAT                     | MLC Temperature Bank B             | °C
COL_BOARD_TEMP_MON_STAT                          | COL Board Temperature              | °C






MLC_ADC_CHAN_M48V_BANKA_MON_STAT                 | MLC -48V Bank A                    | V
MLC_ADC_CHAN_M48V_BANKB_MON_STAT                 | MLC -48V Bank B                    | V




onBoardAnalogN12V                                | Onboard Analog -12V                | V
onBoardAnalogN5V                                 | Onboard Analog -5V                 | V

onBoardAnalogP12V                                | Onboard Analog +12V                | V

onBoardAnalogP5V                                 | Onboard Analog +5V                 | V
onBoardDigitalP5V                                | Onboard Digital +5V                | V



FanremoteTempStatistics                          | Room Temperature             | °C
FanhumidityStatistics                            | Fan Humidity                       | %
FanfanSpeed1Statistics                           | Fan Speed 1                        | RPM
FanfanSpeed2Statistics                           | Fan Speed 2                        | RPM
FanfanSpeed3Statistics                           | Fan Speed 3                        | RPM
FanfanSpeed4Statistics                           | Fan Speed 4                        | RPM
FanhumidityStatistics				 | Room Humidity 		      | % Reletive


NDCIndexMotor::GantryRtn primDriftStats       		   | Gantry Primary Drift               | mm
NDCIndexMotor::GantryRtn secDriftStats          	   | Gantry Secondary Drift             | mm
NDCIndexMotor::CollRtn primDriftStats           	   | Collimator Primary Drift           | mm
NDCIndexMotor::CollRtn secDriftStats            	   | Collimator Secondary Drift         | mm

NDCMotor::AFCMotor primDevStats             	     | AFC Motor Primary Deviation        | mm
NDCMotor::AFCMotor secDevStats              	     | AFC Motor Secondary Deviation      | mm


BeamOdometers - ArcCount                         | Beam Arc Count                     | count
BeamOdometers - BeamOnTime                       | Beam On Time                       | s
BeamOdometers - HVOnTime                         | High Voltage On Time               | s
BeamOdometers - MagFilOnTime                     | Magnetron Filament On Time         | s
