Machine Log Name                                 | User-Friendly Name                 | Unit
-----------------------------------------------------------------------------------------------
magnetronFlow                                    | Magnetron Flow                     | L/min
targetAndCirculatorFlow                          | Target & Circulator Flow           | L/min
magnetronTemp                                    | Magnetron Temperature              | °C
targetAndCirculatorTemp                          | Target & Circulator Temperature    | °C
flowSensorPower12V                               | Flow Sensor Power                  | V
sf6SensorPower12V                                | SF6 Sensor Power                   | V
sf6GasPressure                                   | SF6 Gas Pressure                   | PSI
CoolingpumpHighStatistics                        | Water Pump Pressure                | PSI
CoolingcityWaterTempStatistics                   | City water flow		      |l/m
CoolingtargetFlowLowStatistics			 | Target & Circulator Flow	      |l/m
CoolingmagnetronFlowLowStatistics                | Magnetron Flow                     | L/min


MLC_ADC_CHAN_PROXIMAL_10V_BANKA_MON_STAT         | MLC Proximal 10V Bank A            | V
MLC_ADC_CHAN_PROXIMAL_10V_BANKB_MON_STAT         | MLC Proximal 10V Bank B            | V
MLC_ADC_CHAN_DISTAL_10V_BANKA_MON_STAT           | MLC Distal 10V Bank A              | V
MLC_ADC_CHAN_DISTAL_10V_BANKB_MON_STAT           | MLC Distal 10V Bank B              | V
MLC_ADC_CHAN_24V_BANKA_MON_STAT                  | MLC 24V Bank A                     | V
MLC_ADC_CHAN_24V_BANKB_MON_STAT                  | MLC 24V Bank B                     | V
MLC_ADC_CHAN_P12VA_BANKA_MON_STAT                | MLC +12V Analog Bank A             | V
MLC_ADC_CHAN_P12VA_BANKB_MON_STAT                | MLC +12V Analog Bank B             | V
MLC_ADC_CHAN_M11V_BANKA_MON_STAT                 | MLC -11V Bank A                    | V
MLC_ADC_CHAN_M11V_BANKB_MON_STAT                 | MLC -11V Bank B                    | V
MLC_ADC_CHAN_5V_BANKA_MON_STAT                   | MLC 5V Bank A                      | V
MLC_ADC_CHAN_5V_BANKB_MON_STAT                   | MLC 5V Bank B                      | V
MLC_ADC_CHAN_P5VA_BANKA_MON_STAT                 | MLC +5V Analog Bank A              | V
MLC_ADC_CHAN_P5VA_BANKB_MON_STAT                 | MLC +5V Analog Bank B              | V

MLC_ADC_CHAN_TEMP_BANKA_STAT                     | MLC Temperature Bank A             | °C
MLC_ADC_CHAN_TEMP_BANKB_STAT                     | MLC Temperature Bank B             | °C
MLC_ADC_CHAN_M48V_BANKA_MON_STAT                 | MLC -48V Bank A                    | V
MLC_ADC_CHAN_M48V_BANKB_MON_STAT                 | MLC -48V Bank B                    | V


ionAnalogN11V                                    | Ion Analog -11V                    | V
ionAnalogN5V                                     | Ion Analog -5V                     | V
ionAnalogP5V                                     | Ion Analog +5V                     | V

onBoardAnalogN12V                                | Onboard Analog -12V                | V
onBoardAnalogN5V                                 | Onboard Analog -5V                 | V
onBoardAnalogP1_25V                              | Onboard Analog +1.25V              | V
onBoardAnalogP12V                                | Onboard Analog +12V                | V
onBoardAnalogP3V                                 | Onboard Analog +3V                 | V
onBoardAnalogP5V                                 | Onboard Analog +5V                 | V
onBoardDigitalP5V                                | Onboard Digital +5V                | V
COL_BOARD_TEMP_MON_STAT                          | COL Board Temperature              | °C


FanremoteTempStatistics                          | Room Temperature             | °C
FanhumidityStatistics                            | Fan Humidity                       | %
FanfanSpeed1Statistics                           | Fan Speed 1                        | RPM
FanfanSpeed2Statistics                           | Fan Speed 2                        | RPM
FanfanSpeed3Statistics                           | Fan Speed 3                        | RPM
FanfanSpeed4Statistics                           | Fan Speed 4                        | RPM
FanhumidityStatistics				 | Room Humidity 		      | % Reletive


NDCIndexMotor::GantryRtn primDriftStats       		   | Gantry Primary Drift               | mm
NDCIndexMotor::GantryRtn secDriftStats          	   | Gantry Secondary Drift             | mm
NDCIndexMotor::CollRtn primDriftStats           	   | Collimator Primary Drift           | mm
NDCIndexMotor::CollRtn secDriftStats            	   | Collimator Secondary Drift         | mm

NDCMotor::AFCMotor primDevStats             	     | AFC Motor Primary Deviation        | mm
NDCMotor::AFCMotor secDevStats              	     | AFC Motor Secondary Deviation      | mm


BeamOdometers - ArcCount                         | Beam Arc Count                     | count
BeamOdometers - BeamOnTime                       | Beam On Time                       | s
BeamOdometers - HVOnTime                         | High Voltage On Time               | s
BeamOdometers - MagFilOnTime                     | Magnetron Filament On Time         | s


EMO Good Event Detected                          | EMO Good Event                     | event
